lshMEthod,sizeBucket,ands,ors,imbalance,neigh,subBuckets,distance,isMethod,rate,executors,timeLSH,timeIS,buckets,buckMax,buckMin,buckAvg,reduction
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.03219068221666667,10.983918713066666,4.0,28478.0,8975.0,17895.25,0.004875595479247286
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.06785565598333333,11.839068828983333,4.0,29143.0,7979.0,17877.75,0.004712561703793822
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.05518172986666667,13.9170160468,4.0,27805.0,8566.0,17872.25,0.004728000111905328
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.028071275816666668,14.513053840733333,4.0,29603.0,5924.0,17762.0,0.004982547010471794
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.0515315042,22.167688637866668,4.0,57316.0,14870.0,35646.5,0.004663851991079068
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.03489358956666667,24.03478787585,4.0,60487.0,12017.0,35610.0,0.004787980904240382
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.0403362549,20.836788481966668,4.0,57113.0,18512.0,35582.25,0.004728481194977833
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.05304732601666667,26.555616771816666,4.0,62594.0,12025.0,35538.0,0.00558557037537284
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.03632087568333333,22.3825980658,4.0,51063.0,23213.0,35534.5,0.004699658078768521
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.03740478001666667,33.66285547103333,4.0,87741.0,23978.0,53396.75,0.004911347600743491
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.04302645968333333,34.2712032814,4.0,82732.0,23727.0,53398.0,0.004972096333196
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.0423430315,31.487012506933333,4.0,78175.0,29314.0,53414.75,0.004951815743778638
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.04831431406666667,31.829963119733332,4.0,80645.0,22230.0,53518.25,0.004825456736720651
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.044063323716666665,32.84133114308333,4.0,91286.0,22799.0,53296.0,0.0047986715700990695
hyperplanes,0.1,2,1,true,4,1000,6,drop3,1.0,6,0.08413544566666667,46.91087755176667,4.0,117154.0,28535.0,71201.75,0.0050279663070079035
hyperplanes,0.1,2,1,true,4,1000,6,drop3,1.0,6,0.060476405633333334,47.97739013221667,4.0,127128.0,22740.0,71201.75,0.004982321361483391
hyperplanes,0.1,2,1,true,4,1000,6,drop3,1.0,6,0.048644712566666665,46.269380216533335,4.0,120463.0,24027.0,71201.75,0.004957743313893268
hyperplanes,0.1,2,1,true,4,1000,6,drop3,1.0,6,0.04668285975,43.60848074525,4.0,115215.0,33651.0,71201.75,0.005034988606319367
hyperplanes,0.1,2,1,true,4,1000,6,drop3,1.0,6,0.04713526296666667,41.178623142733336,4.0,111792.0,37368.0,71201.75,0.0049050760690572915
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.11885872178333333,0.16548995443333334,3504.0,114.0,1.0,8.161244292237443,0.1896352764275973
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.07384631356666667,0.17656012128333334,3194.0,125.0,1.0,8.86944270507201,0.1739560168025698
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.08385793288333333,0.16520046341666667,3516.0,88.0,1.0,8.023037542662117,0.1929880534581162
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.08586799841666666,0.16683276911666667,3347.0,118.0,1.0,8.45921720944129,0.1869812453643203
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.08304123236666666,0.16271135613333335,3552.0,99.0,1.0,7.987612612612613,0.20016213167912025
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.0922609156,0.20414615395,5241.0,237.0,1.0,13.554855943522229,0.11384974873664504
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.09740978345,0.24901712615,5186.0,236.0,1.0,13.707288854608562,0.11221618884168472
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.0896310347,0.21368334121666666,4782.0,276.0,1.0,15.011919698870765,0.10219120453564015
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.08940932,0.1960977998,4310.0,283.0,1.0,16.639907192575407,0.08928023648177584
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.08485132253333333,0.20169574961666667,4739.0,269.0,1.0,15.014982063726524,0.09962617347799202
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.7581039649,0.28493427423333334,6549.0,364.0,1.0,21.682852343869293,0.06840796895796508
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.8405586680833333,0.345708257,6529.0,418.0,1.0,21.795833971511716,0.06939320473630582
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.8590371067333333,0.7533849554166666,6706.0,707.0,1.0,21.226662690128244,0.07228162364941762
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.9454949050666667,0.3939267009333333,6605.0,621.0,1.0,21.598031794095384,0.07008517051628053
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.7709062338166667,0.44373316658333334,6256.0,514.0,1.0,22.794597186700766,0.0652230317735251
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.890847303,1.0481719151166666,5618.0,933.0,1.0,38.001601993592026,0.038792840983076726
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.9015874237166667,1.5611600085166666,7491.0,968.0,1.0,28.523027633159792,0.05281607742925875
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.9320374011666667,0.5445742171,7001.0,613.0,1.0,30.51364090844165,0.04749421886848979
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.9543592778833333,0.8355492078666666,8413.0,539.0,1.0,25.359324854392014,0.06063333145846223
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.9055512590833333,0.7992954260333334,6622.0,790.0,1.0,32.273935366958625,0.04687953284234365
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,1.0,6,0.8176637129666666,3.96741142385,8118.0,856.0,1.0,35.08339492485834,0.042527044630223276
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,1.0,6,0.9585529263166667,7.10592091825,7524.0,1237.0,1.0,37.85313662945242,0.039862082041522855
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,1.0,6,0.9012926005,3.4562626123,9438.0,981.0,1.0,30.17662640389913,0.05084495816465185
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,1.0,6,0.9886316648666666,6.285935478033333,8694.0,1139.0,1.0,32.75902921555095,0.04666669007433104
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,1.0,6,0.9602787039666667,3.5053837359333335,7458.0,884.0,1.0,38.18812013944757,0.03963385731390029
projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.054221999316666665,0.13775719538333334,2016.0,157.0,1.0,14.206845238095237,0.10778254949198701
projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.0442678933,0.12704309635,2047.0,204.0,1.0,13.86809965803615,0.10874313090038044
projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.04194025756666667,0.11599137486666666,2024.0,151.0,1.0,14.045454545454545,0.10310257492612916
projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.0459172989,0.11841833698333333,2102.0,178.0,1.0,13.513320647002855,0.11466291145925013
projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.04504915515,0.1213390779,1815.0,176.0,1.0,15.703581267217631,0.09311627254227774
projection,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.054983405816666664,0.2735940043833333,2983.0,416.0,1.0,23.90010056989608,0.06317502174095997
projection,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.05098633306666667,0.2520058304666667,2562.0,545.0,1.0,27.743169398907103,0.05299811474717916
projection,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.05234347021666667,0.30299816933333334,2660.0,478.0,1.0,26.76390977443609,0.055301157433419484
projection,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.05048069426666667,0.20474524326666665,2904.0,326.0,1.0,24.573691460055098,0.06104089010958213
projection,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.0548448469,0.19948018478333332,2507.0,452.0,1.0,28.310331072995613,0.05201904922929523
projection,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.06065842545,5.837956147716667,3431.0,1036.0,1.0,41.48673856018654,0.03584350257480276
projection,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.0677827648,0.9839965742333333,3770.0,735.0,1.0,37.76657824933687,0.04012501755864588
projection,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.0561738242,0.9132044246333333,3760.0,926.0,1.0,37.89441489361702,0.039752110778127916
projection,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.0605661516,5.060611676266666,3755.0,1147.0,1.0,37.89347536617843,0.040522875816993466
projection,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.05344445716666667,0.5891157028666667,3225.0,501.0,1.0,44.00248062015504,0.033563999210756264
projection,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.06802764193333333,2.531459373816667,3935.0,972.0,1.0,54.32630241423126,0.02704257767548907
projection,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.05446945625,2.2236964796166667,3972.0,976.0,1.0,53.666163141993955,0.027636257869601524
projection,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.05769888048333333,2.234692464366667,4162.0,961.0,1.0,51.33012974531475,0.02968600797618379
projection,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.0589141261,2.1163598773666665,3853.0,965.0,1.0,55.368024915650146,0.027623480661688533
projection,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.07064391493333333,6.09832483,3940.0,1161.0,1.0,54.18680203045685,0.028440813879416944
