lshMEthod,ands,imbalance,isMethod,database,one_class_method,level_6,trees,depth,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,balancedAcc,mcc,AreaROC,timeIS,timeLSH,model_complexity,Total Time,Reduction of DataSet(%),reduction,k,type,db/IS_Method,% of samples
RHF+DPF,4,True,entropy,gateway_credit_card,entropy,9,25,30,521.0,1297848.0,521.0,444.0,53.98963730569948,99.9598727326361,50.0,99.92573118228262,51.91828599900348,73.46289726085476,67.78070793378046,76.97475501916779,0.5191946161696095,0.9179670478431128,1.7205081243833331,5.704195601216667,750,7.424703725600001,83.9185656088038,0.1608143439119619,2,test,"gateway_credit_card/
entropy",16.08143439119619
RHF+DPF,4,True,entropy,pageblocks,entropy,0,25,20,439.0,2003.0,439.0,6.0,98.65168539,82.02293202,50.0,84.58607551,66.36432351,89.95387977,93.663059379,90.337308705,0.6332169382143404,0.989558174,0.870389681,0.199617435,500,1.070007116,43.3056325,0.566943675,1,train,"pageblocks/
entropy",56.6943675
RHF+DPF,4,True,entropy,pageblocks,entropy,1,25,20,450.0,2508.0,450.0,4.0,99.11894273,84.78701826,50.0,86.6940211,66.46971935,91.67333095,94.819365389,91.95298049499999,0.6466789951382051,0.993709316,0.808138169,0.105009165,500,0.913147334,33.1003382,0.668996618,2,train,"pageblocks/
entropy",66.8996618
RHF+DPF,4,True,entropy,pageblocks,entropy,2,25,20,443.0,2426.0,443.0,2.0,99.5505618,84.55907982,50.0,86.57211829,66.56649136,91.7491357,95.053117206,92.05482081,0.6479624814961937,0.991810361,0.3544084,0.143269307,500,0.497677707,34.5313922,0.654686078,3,train,"pageblocks/
entropy",65.4686078
RHF+DPF,4,True,entropy,pageblocks,entropy,3,25,20,433.0,1942.0,433.0,6.0,98.6332574,81.76842105,50.0,84.39943141,66.36015326,89.80582231,93.573806495,90.20083922500001,0.6320854013061245,0.995019592,0.41763736,0.098034355,500,0.515671715,45.608031000000004,0.54391969,4,train,"pageblocks/
entropy",54.391968999999996
RHF+DPF,4,True,entropy,pageblocks,entropy,4,25,20,451.0,1962.0,451.0,2.0,99.5584989,81.30957315,50.0,84.1939986,66.56826568,89.97254608,94.083821175,90.43403602500001,0.6352297666356123,0.990776238,0.451520329,0.18864375,500,0.640164079,44.144767200000004,0.558552328,5,train,"pageblocks/
entropy",55.855232799999996
RHF+DPF,4,True,entropy,pageblocks,entropy,5,25,20,100.0,1014.0,100.0,14.0,87.71929825,91.02333932,50.0,90.71661238,63.69426752,89.35604875,88.71051057099999,89.371318785,0.6188614403177802,0.943641112,0.870389681,0.199617435,500,1.070007116,43.3056325,0.566943675,1,test,"pageblocks/
entropy",56.6943675
RHF+DPF,4,True,entropy,pageblocks,entropy,6,25,20,95.0,924.0,95.0,10.0,90.47619048,90.67713445,50.0,90.65836299,64.40677966,90.57660674,90.536473671,90.576662465,0.6301411205360706,0.960332955,0.808138169,0.105009165,500,0.913147334,33.1003382,0.668996618,2,test,"pageblocks/
entropy",66.8996618
RHF+DPF,4,True,entropy,pageblocks,entropy,7,25,20,103.0,941.0,103.0,11.0,90.35087719,90.13409962,50.0,90.15544041,64.375,90.24242331,90.285843919,90.242488405,0.6269969292857667,0.912921876,0.3544084,0.143269307,500,0.497677707,34.5313922,0.654686078,3,test,"pageblocks/
entropy",65.4686078
RHF+DPF,4,True,entropy,pageblocks,entropy,8,25,20,102.0,950.0,102.0,18.0,85.0,90.30418251,50.0,89.76109215,62.96296296,87.61195988,86.59125475299999,87.652091255,0.6020947339849894,0.915702479,0.41763736,0.098034355,500,0.515671715,45.608031000000004,0.54391969,4,test,"pageblocks/
entropy",54.391968999999996
RHF+DPF,4,True,entropy,pageblocks,entropy,9,25,20,89.0,1017.0,89.0,17.0,83.96226415,91.95298373,50.0,91.25412541,62.67605634,87.86683509,86.35948002399999,87.95762393999999,0.6058836596838941,0.941274447,0.451520329,0.18864375,500,0.640164079,44.144767200000004,0.558552328,5,test,"pageblocks/
entropy",55.855232799999996
RHF+DPF,6,True,drop3,credit_card,drop3-boundaries,0,50,30,388.0,213392.0,388.0,1.0,99.74293059125964,99.81850500514548,50.0,99.81836773762775,66.60944206008583,99.78071064314749,99.76560291542539,99.78071779820256,0.7055512117094354,0.9999976569053344,0.04857887535,0.09132380075,1500,0.1399026761,6.145018395103996,0.93854981604896,1,train,"credit_card/
drop3-boundaries",93.85498160489601
RHF+DPF,6,True,drop3,credit_card,drop3-boundaries,1,50,30,387.0,217990.0,387.0,5.0,98.72448979591836,99.82278353489608,50.0,99.8208155634482,66.38078902229846,99.2721178100428,99.05397791761166,99.27363666540722,0.7019357260818301,0.9999885318470608,0.0488350617833333,0.0531685515833333,1500,0.1020036133666666,4.245299565034378,0.9575470043496562,2,train,"credit_card/
drop3-boundaries",95.75470043496563
