lshMEthod,sizeBucket,ands,ors,imbalance,neigh,subBuckets,distance,isMethod,rate,executors,timeLSH,timeIS,buckets,buckMax,buckMin,buckAvg,reduction
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.03685117288333333,41.45562886916667,4.0,82885.0,23864.0,53450.5,0.0215807148670265
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.040833531,36.15210433036667,4.0,84186.0,27294.0,53541.5,0.03135418320368313
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.03822144858333333,42.41919562268333,4.0,85195.0,19553.0,53460.0,0.02414421997755331
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.06145269485,39.6210178847,4.0,93842.0,21878.0,53397.5,0.028624935624326983
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.04291065743333333,45.79991340466667,4.0,85046.0,24067.0,53350.25,0.025163893327585157
hyperplanes,0.1,2,1,true,4,1000,6,drop3,1.0,6,0.04947071421666667,50.0943413518,4.0,118345.0,29701.0,71201.75,0.02809270839550994
hyperplanes,0.1,2,1,true,4,1000,6,drop3,1.0,6,0.055000541683333334,54.65626577086667,4.0,120742.0,28284.0,71201.75,0.025150364984006714
hyperplanes,0.1,2,1,true,4,1000,6,drop3,1.0,6,0.04102689268333334,54.71079239825,4.0,119604.0,27694.0,71201.75,0.028485957156951902
hyperplanes,0.1,2,1,true,4,1000,6,drop3,1.0,6,0.06360027306666667,56.891845013466664,4.0,117578.0,29635.0,71201.75,0.022545091939453737
hyperplanes,0.1,2,1,true,4,1000,6,drop3,1.0,6,0.049056790266666664,57.05091646661667,4.0,123699.0,25185.0,71201.75,0.023868795359664616
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.11248768175,0.18427374601666666,3710.0,94.0,1.0,7.715633423180593,0.2725240174672489
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.08917579045,0.1696989841,3369.0,105.0,1.0,8.422677352330068,0.25694248660840147
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.07441037481666667,0.20082698048333333,3220.0,137.0,1.0,8.724844720496895,0.2515839681070691
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.10547192978333333,0.20640749878333334,3532.0,103.0,1.0,8.039920724801812,0.26823255977744126
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.08346203688333333,0.17878186798333334,3535.0,118.0,1.0,8.031966053748231,0.26657979079350547
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.09290343203333333,0.23391793986666667,5619.0,215.0,1.0,12.607759387791422,0.19330067896616462
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.08615773398333333,0.23097047323333333,4477.0,275.0,1.0,15.894125530489166,0.15929340341212514
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.0775104863,0.21788898716666666,4678.0,266.0,1.0,15.247969217614365,0.16147483527267628
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.1066394659,0.21245135816666666,4656.0,292.0,1.0,15.210266323024054,0.16977082421384093
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.07550014385,0.21931955928333333,4906.0,251.0,1.0,14.425397472482674,0.16683387263144508
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.9534518379666667,0.50414042025,6720.0,479.0,1.0,21.175,0.13427643784786641
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.5,6,1.0853007723666668,0.8440332717666666,4530.0,680.0,1.0,31.471081677704195,0.09836985494234168
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.9210301972833334,0.29855450155,6566.0,322.0,1.0,21.661437709412123,0.1375106342588361
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.9387646115333333,0.38412014125,6162.0,424.0,1.0,23.067185978578383,0.12834529337273112
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.5,6,0.9343266554333334,0.45273091206666666,7151.0,507.0,1.0,19.900013984058173,0.1458697867256948
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.9954599071833333,0.5786716972,8059.0,586.0,1.0,26.488646234024074,0.11798737070903913
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.9739781145,1.1033606720666667,6596.0,733.0,1.0,32.365372953305034,0.1135318200129285
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.98160916775,1.2677310436,6697.0,638.0,1.0,31.932507092728088,0.10937470774180275
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.75,6,1.2524833018333332,6.376107449816667,7261.0,1222.0,1.0,29.433824542074095,0.1091667095578774
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.75,6,0.9792513841166667,0.6954954430666667,7376.0,598.0,1.0,28.98712039045553,0.12185642325627079
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,1.0,6,1.0373057817166667,4.7752524089,8832.0,807.0,1.0,32.24716938405797,0.11202674091577805
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,1.0,6,1.06124625125,6.425433639733333,7535.0,1287.0,1.0,37.79787657597877,0.11067845944797705
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,1.0,6,1.1259780090333333,5.862908004866667,7246.0,832.0,1.0,39.30540988131383,0.09424627905915234
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,1.0,6,1.0220544987833333,4.1709017642,8324.0,851.0,1.0,34.21516098029793,0.11583633829224703
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,1.0,6,1.0281484657666666,7.826442701566667,7915.0,1081.0,1.0,35.98319646241314,0.11443187842995432
projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.050479270316666665,0.12489232451666667,1874.0,134.0,1.0,15.125933831376734,0.15296690891131023
projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.044042861866666665,0.1318411671,1816.0,195.0,1.0,15.573237885462555,0.1695131006682932
projection,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.04295105208333334,0.13566499726666667,2091.0,145.0,1.0,13.759923481587757,0.17273738356735716
