tipo,tp,fn,tn,fp,TPR,SPC,PPV,ACC,F1,MGEO,PEXC,MCC,areaRoc,trees,impurity,depth,bins
train,2539,949,4867908,11,72.79243119,99.99977403,99.56862745,99.98029317,84.10069559,85.31838413,0.727922052,0.851257961,0.74123108,10,entropy,20,32
test,555,601,1621232,19,48.01038062,99.99882807,96.68989547,99.96178517,64.16184971,69.28911745,0.480092087,0.681192065,0.740046043,10,entropy,20,64
train,2651,908,4867063,6,74.48721551,99.99987672,99.77418141,99.98123445,85.2960103,86.30592314,0.744870922,0.862003438,0.740046043,10,entropy,20,64
test,559,599,1622812,19,48.27288428,99.99882921,96.71280277,99.96194556,64.40092166,69.47828373,0.482717135,0.683133339,0.741358567,10,entropy,20,128
train,2745,812,4865485,4,77.17177397,99.99991779,99.85449254,99.98324107,87.05994291,87.84743054,0.771716918,0.877761495,0.741358567,10,entropy,20,128
test,574,630,1621934,24,47.6744186,99.99852031,95.98662207,99.95970827,63.70699223,69.04615353,0.476729389,0.676321917,0.738364695,10,entropy,30,32
train,3123,388,4866351,11,88.94901737,99.99977396,99.64901085,99.99180677,93.99548533,94.31268012,0.889487913,0.941432416,0.738364695,10,entropy,30,32
test,574,571,1622438,22,50.13100437,99.99864403,96.30872483,99.96347634,65.93911545,70.80277156,0.501296484,0.694705612,0.750648242,10,entropy,30,64
train,3190,380,4865853,7,89.3557423,99.99985614,99.78104473,99.99205246,94.2810699,94.52809834,0.893555984,0.944208515,0.750648242,10,entropy,30,64
test,607,594,1621023,19,50.54121565,99.99882791,96.96485623,99.96221281,66.44772852,71.0919287,0.505400436,0.699911192,0.752700218,10,entropy,30,128
train,3120,394,4867275,3,88.78770632,99.99993836,99.90393852,99.99184937,94.0183818,94.22719968,0.887876447,0.941781117,0.752700218,10,entropy,30,128
test,583,626,1620187,14,48.2216708,99.99913591,97.65494137,99.96052818,64.56256921,69.44152513,0.482208067,0.686085828,0.741104034,10,entropy,20,128
train,2667,839,4868106,13,76.06959498,99.99973296,99.51492537,99.98251097,86.22696411,87.21776874,0.760693279,0.869984063,0.741104034,10,entropy,20,128
test,578,597,1622170,22,49.19148936,99.99864381,96.33333333,99.96186937,65.12676056,70.13616915,0.491901332,0.688247037,0.745950666,10,entropy,20,128
train,2685,855,4866122,6,75.84745763,99.9998767,99.77703456,99.98231912,86.18199326,87.09039218,0.758473343,0.869855716,0.745950666,10,entropy,20,128
test,541,573,1622182,11,48.56373429,99.99932191,98.00724638,99.96402406,64.94597839,69.68744864,0.485630562,0.689769283,0.742815281,10,entropy,20,128
train,2699,902,4866116,11,74.95140239,99.99977395,99.59409594,99.98125152,85.53319601,86.57438014,0.749511763,0.863904253,0.742815281,10,entropy,20,128
test,571,583,1622750,23,49.48006932,99.99858267,96.12794613,99.96268305,65.33180778,70.34157237,0.49478652,0.689529131,0.74739326,10,entropy,20,128
train,2670,891,4865540,7,74.9789385,99.99985613,99.73851326,99.9815572,85.60436037,86.59031737,0.749787946,0.864690737,0.74739326,10,entropy,20,128
test,343,839,1621628,42,29.01861252,99.99741008,89.09090909,99.94571286,43.77791959,53.86822901,0.290160226,0.508287652,0.645080113,2,gini,10,32
train,1068,2465,4866594,56,30.22926691,99.99884931,95.01779359,99.94823603,45.86643762,54.98083218,0.302281162,0.535787139,0.645080113,2,gini,10,32
test,382,787,1623788,47,32.67750214,99.99710562,89.04428904,99.94867705,47.8097622,57.16341166,0.326746078,0.539249882,0.663373039,2,gini,10,64
train,1276,2270,4864420,65,35.98420756,99.99866378,95.15287099,99.95203399,52.22017598,59.98643741,0.359828713,0.584995311,0.663373039,2,gini,10,64
test,328,804,1622611,47,28.97526502,99.99710352,87.46666667,99.94759175,43.53019244,53.82789774,0.289723685,0.503257552,0.644861843,2,gini,10,128
train,1148,2435,4865603,59,32.04018979,99.99878742,95.11184756,99.94878056,47.93319415,56.60371125,0.320389772,0.551877135,0.644861843,2,gini,10,128
test,534,633,1624019,88,45.75835476,99.99458164,85.85209003,99.95563825,59.69815539,67.64308938,0.457529364,0.626594173,0.728764682,2,gini,20,32
train,2306,1242,4864087,126,64.99436302,99.99740965,94.81907895,99.97189673,77.12374582,80.61803734,0.649917727,0.784907698,0.728764682,2,gini,20,32
test,486,677,1621408,135,41.78847807,99.9916746,78.26086957,99.94996013,54.48430493,64.64131729,0.417801527,0.571664878,0.708900763,2,gini,20,64
