isMethod,trees,depth,type,k,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,AreaROC,timeIS,reduction
undersampling,10,30,Test,2,91.0,55316.0,91.0,11.0,89.2156862745098,99.83576082444456,50.0,99.81624601415987,64.08450704225352,94.37645848775341,92.40170863949024,0.5259601557508622,0.0810225219,0.003526043542027102
undersampling,25,10,Train,2,385.0,389.0,385.0,5.0,98.71794871794873,50.258397932816536,50.0,66.49484536082474,66.37931034482759,70.43724831208303,84.18008348240906,0.9936548223350254,0.08425004176666667,0.003420657433672618
undersampling,25,10,Test,2,93.0,55654.0,93.0,9.0,91.17647058823529,99.8331748793657,50.0,99.8173646797615,64.58333333333333,95.40669019056597,93.77348187557442,0.5328978797558713,0.08425004176666667,0.003420657433672618
undersampling,25,20,Train,2,389.0,393.0,389.0,1.0,99.74358974358975,50.25575447570333,50.0,66.72354948805462,66.60958904109589,70.8003485632601,84.89723916322382,0.9987309644670052,0.0920376068,0.003438221785065032
undersampling,25,20,Test,2,94.0,55021.0,94.0,8.0,92.15686274509804,99.82944751882428,50.0,99.81527428147129,64.82758620689656,95.91646726663393,94.4586381772159,0.5229214402126842,0.0920376068,0.003438221785065032
undersampling,25,30,Train,2,390.0,453.0,390.0,0.0,100.0,53.736654804270465,50.0,68.3698296836983,66.66666666666667,73.30528958013225,86.12099644128114,1.0,0.08067531253333333,0.0037016870559512414
undersampling,25,30,Test,2,92.0,55733.0,92.0,10.0,90.19607843137256,99.83519928347513,50.0,99.81761939671358,64.33566433566435,94.89332676634345,93.08781468700333,0.5344967688043099,0.08067531253333333,0.0037016870559512414
undersampling,50,10,Train,2,381.0,388.0,381.0,9.0,97.6923076923077,50.455136540962286,50.0,66.35030198446937,66.14583333333334,70.20739792655105,83.52115634690408,0.9886649874055415,0.08057752988333333,0.0034162663458245147
undersampling,50,10,Test,2,91.0,55871.0,91.0,11.0,89.2156862745098,99.83738965726742,50.0,99.81806506849315,64.08450704225352,94.37722836642725,92.4021972893371,0.5381047689218956,0.08057752988333333,0.0034162663458245147
undersampling,50,20,Train,2,389.0,337.0,389.0,1.0,99.74358974358975,46.41873278236915,50.0,65.05376344086021,66.60958904109589,68.04389053443334,83.74613265522356,0.9985207100591715,0.08096176165,0.0031923208655712364
